County,HHI
东西湖区,0.14481193584988736
黄陂区,0.12954392626873937
硚口区,0.21096038882961607
江汉区,0.17680471895384042
洪山区,0.09988548571797236
黄石市区,0.45935324020675805
新洲区,0.44352108341028007
孝南区,0.24859995130265405
汉阳区,0.1172139637748103
江夏区,0.15251781185847121
经开区,0.10677501164535996
青山区,0.11995002082465642
江岸区,0.25317078790544734
大冶市,0.37074829931972797
天门市,0
蔡甸区,0.21783391460081056
汉川市,1.0
武昌区,0.5447510782272459
黄州区,0.2434840721764313
鄂州市,0.36111111111111116
云梦县,0.375
咸安区,0.33333333333333337
浠水县,0.5
仙桃市,0.6800000000000002
孝昌县,0
嘉鱼县,0
团风县,1.0
Total HHI,0.03219288386697385
