County,HHI
云梦县,0.4052497058704207
经开区,0.09775083947685072
洪山区,0.5752951659612386
鄂州市,0.440624349635796
江岸区,0.6493941686893802
浠水县,0.43224913494809686
仙桃市,0.27757487216946675
蔡甸区,0.12040071019241598
江汉区,1.0
天门市,0.583132003545023
东西湖区,0.917710954789983
孝南区,0.3102234795425769
咸安区,0.22397255478540923
江夏区,0.18429188591552179
黄州区,0.2551203894566028
嘉鱼县,0.34713091469848234
大冶市,0.29706152433425154
黄石市区,0.39446582163875066
黄陂区,1.0
武昌区,0
汉川市,0.6600000000000001
新洲区,1.0
汉阳区,1.0
孝昌县,0
硚口区,0.5
Total HHI,0.03230874163211397
